Service,Quantity,,,Price,Total
Tear off 1 Layer,SQ,,,$40.00,
Tear off 2 Layer,SQ,,,$50.00,
Tear off 3 Layer,SQ,,,$60.00,
Tear off Cedar shake,SQ,,,$15.00,
Tear off mansard,SQ,,,$15.00,
Install 2/12 up to 6/12,SQ,,,$45.00,
Install 7/12 up to 10/12,SQ,,,$55.00,
Install 11/12 and 12/12,SQ,,,$65.00,
Install Mansard 13/12 and up,SQ,,,$90.00,
Ridge Vent,FT,,,$1.00,
Ridge Cap,FT,,,$1.00,
Step Flashing 50ft and under,FT,,,$5.00,
Step Flashing 51ft and over,FT,,,$3.50,
Headwall Flash With Siding Work,FT,,,$5.00,
Headwall Flash Without Siding Work,FT,,,$2.50,
Box vent,EA,,,$5.00,
Pipe Boot,EA,,,$5.00,
Bath/Stove vent,EA,,,$5.00,
Chimney Flash up to 12',EA,,,$125.00,
Chimney Flash up to 13'-25',EA,,,$175.00,
Chimney Removal up to 12',EA,,,$200.00,
Chimney Removal 13'-20',EA,,,$300.00,
Skylight Standard,EA,,,$125.00,
Skylight curb or Special,EA,,,$150.00,
Eyebrow 1 story,EA,,,$25.00,
Eyebrow 2 story,EA,,,$50.00,
Bay Window 1 Story,EA,,,$75.00,
Bay window 2 story,EA,,,$150.00,
Return under 1sq,EA,,,$125.00,
Metal Valley / Includes I&W,FT,,,$2.00,
Sheeting 4x8,EA,,,$10.00,
Sheeting 4x8 Above 7/12,EA,,,$13.00,
Clips for Sheeting 4x8,EA,,,$2.00,
Stuck ice and water Sheeting 4x8,EA,,,$5.00,
1X pine board replaced,FT,,,$1.00,
1X Trim boards (cut siding/drip-cap step incl),FT,,,$11.00,
Gutter Guard Tear Off,FT,,,$0.40,
Ladder Shingles from Ground,SQ,,,$5.00,
Labor Hours,EA,,,$50.00,
LOW SLOPE LABOR,,,,,
Flintlastic SA System (1LTO included),SQ,,,$150.00,
Tear Off Additonal Layer,SQ,,,$10.00,
Tear Off Adittional Layer,SQ,,,$10.00,
Pipe Boot,EA,,,$25.00,
ISO or Fiber board,EA,,,$15.00,
,,GRAND TOTAL,,,