Product,UOM,Price
House Wrap 9'x150',Roll,$116.00
"3/8"" Fanfold 2sq/bndl",Bndl,$60.00
"House Wrap Tape 2"" x 165'",Roll,$18.00
"Window Tape 6""x75'",Roll,$41.00
"Starter Strip 4""",PC,$12.00
T-50 Staples,Box,$10.00
"Siding Nails 1-3/4"" 5lbs",Box,$16.00
"Siding Nails 1-3/4"" 25lbs",Box,$84.00
7/16 OSB,PC,$12.00
Caulk,PC,$9.50
TRIM GOODS,,
Garage Door Weather Strip 16',PC,$23.00
"Drip Cap White 1""",PC,$11.00
Cortex Screws/Plugs 50 Lnf,BX,$44.00
Cortex Screws/Plugs 250 Lnf,BX,$194.00
"Drip Cap White 1-1/4""",PC,$13.00
"PVC Trim 1""x4""x18'",PC,$38.00
"PVC Trim 1""x6""x18'",PC,$60.00
"PVC Trim 1""x8""x18'",PC,$79.00
"PVC Trim 1""x10""x18'",PC,$100.00
"PVC Trim 1""x12""x18'",PC,$122.00
"PVC Trim 5/4""x4""x18'",PC,$49.00
"PVC Trim 5/4""x6""x18'",PC,$78.00
"PVC Trim 5/4""x8""x18'",PC,$102.00
"PVC Trim 5/4""x10""x18'",PC,$132.00
"PVC Trim 5/4""x12"" 18'",PC,$160.00
"PVC Sheet 4'x8' 1/2""",PC,$176.00
"PVC Sheet 5/8"" 4'x8'",PC,$334.00
ALUMINUM GOODS,,
Trim Coil Smooth,Roll,$155.00
Trim Coil No Mar,Roll,$197.00
Trim Coil PVC,Roll,$178.00
"Trim Nails 1-3/4"" 1lb",Box,$19.00
"4"" Fascia Ribbed/Woodgrain",PC,$21.10
"6"" Fascia Ribbed/Woodgrain",PC,$23.75
"8"" Fascia Ribbed/Woodgrain",PC,$26.00
Solid Soffit,PC,$33.50
Vented Soffit,PC,$33.50
"Aluminum 3/8"" J Channel",PC,$10.40
Aluminum F Channel,PC,$18.20
ROYAL VINYL GOODS,,
Royal Crest .040 D4 Light,SQ,$78.00
Royal Crest .040 D4 Medium,SQ,$86.00
Royal Residential .042 D4 Light,SQ,$87.00
Royal Residential .042 D4 Medium,SQ,$87.00
Royal Estate .044 Light colors,SQ,$100.00
Royal Estate .044 Medium colors,SQ,$100.00
Royal Estate .044 Dark colors,SQ,$112.00
Board & Batten 17pcs/sq Light colors,SQ,$140.00
Board & Batten 17pcs/sq Mid colors,SQ,$152.00
Board & Batten 17pcs/sq Prem Colors,SQ,$163.00
"Foundry Shakes Split/Stag 7"" 34pcs/sq",SQ,$395.00
"5/8"" J channel Light",PC,$4.85
"5/8"" J channel Medium",PC,$5.30
"5/8"" J channel Dark",PC,$5.10
"7/8"" J Channel Light",PC,$7.55
"7/8"" J Channel Medium",PC,$7.25
"7/8"" J Channel Dark",PC,$7.80
Finish Trim Light/Med/Dark,PC,$5.30
"Flex J Channel 13/16""",PC,$27.00
Inside Corner Post Light/Med/Dark,PC,$17.00
Outside Corner Post Light/Med/Dark,PC,$16.00
"3/4"" Bay Corner Post White Only",PC,$31.00
"Light Block 7""x8""",PC,$12.00
"Jumbo Mount Block 8""x10""",PC,$21.00
Split Mini Block,PC,$13.00
"Hooded Dryer Vent 4""",PC,$22.00
"Hooded Dryer Vent 6""",PC,$56.00
"Louvered Exhaust Vent 6""",PC,$19.00
Intake/Exhaust,PC,$31.00
"Gable Vent 12""x18""",PC,$45.00
"Gable Vent 18""x24""",PC,$69.00