Service,Quantity,Price,Total
Standard vinyl siding install,SQ,$145.00,
B & B Install,SQ,$155.00,
Vinyl shake Install,SQ,$155.00,
Alside Ascend,SQ,$190.00,
Alside Ascend B & B,SQ,$200.00,
House Wrap Install,SQ,$30.00,
"Fanfold/foamboard Install 1/4""",SQ,$35.00,
Tear Off vinyl/alum,SQ,$20.00,
Tear Off Wood,SQ,$50.00,
Tear Off Stone,SQ,$50.00,
J Block,EA,$5.00,
Dryer Vent,EA,$5.00,
Exhaust/Intake Vent,EA,$5.00,
Split Block,EA,$5.00,
Exterior Lights,EA,$20.00,
Gable Vent,EA,$10.00,
Prebent Fascia (Tear off/Install),FT,$2.00,
"Alum-Soffit (Tear off/Install) 1""-24""",FT,$2.00,
"Alum-Soffit (Tear off/Install) 25""-36""",FT,$2.25,
Alum-Soffit Porch Cieling,SQFT,$2.00,
Fascia Custom Bent,FT,$3.75,
Pine Board Install to be Wrapped,FT,$1.00,
Primed Trim Install,FT,$2.00,
PVC/Pre Finished Trim Install,FT,$3.00,
PVC Trim Install w/ Plugs and Screws,FT,$4.50,
Lineal Trim,FT,$2.00,
Window Wrap Reg Size,EA,$55.00,
Window Wrap XL,EA,$70.00,
Door Wrap,EA,$65.00,
Garage Door Wrap w/ Weather Strip,EA,$150.00,
Garage Door Dbl Stall w/Weather Strip,EA,$170.00,
Trim Custom Bent,FT,$3.00,
Bird Box Custom,EA,$20.00,
Column Alum Wrap / PVC Trim,EA,$100.00,
Beams Alum wrapp,FT,$10.00,
Sheet of wood replaced,EA,$15.00,
Gutter tear off,FT,$0.40,
Shutter removal /Set,EA,$10.00,
Shutter Install /Set,EA,$40.00,
Labor Hours,PER,$50.00,